PQ,Wat1,Wat2,Wat3,year,month,index
78970.238824,280.985383307,19.6139544599,31.1728535388,2017,11,377
82131.1882017,256.337540345,22.139928715,27.6646955181,2017,11,378
82545.8759945,161.466393792,26.2850639138,29.33251271,2017,11,379
77537.757893,113.539866592,20.2844631055,33.1960695402,2017,11,380
73028.1294912,113.200106654,19.3510346977,27.1516866881,2017,11,381
75799.7490595,244.625028619,19.3760133136,33.8438603081,2017,11,382
73525.5876113,331.976773753,19.2336650169,25.7711844111,2017,11,383
79451.3721254,355.179117908,25.0244651934,29.7177256583,2017,11,384
80135.050174,163.325213042,20.2785024147,30.6215558701,2017,11,385
86000.0149527,239.427180655,20.4714317746,28.5609004272,2017,11,386
78685.0192395,113.62213279,21.1429424837,30.6849769816,2017,11,387
79825.1985264,113.41274427,19.6890197908,36.9170075507,2017,11,388
79056.8180539,210.441110058,23.5188281723,27.9981460494,2017,11,389
80206.1443973,277.374711861,20.533607501,29.7361063999,2017,11,390
78399.4737555,194.574199087,19.7313608303,32.8498166291,2017,11,391
73534.0846116,137.348902922,20.6791708028,31.2888695258,2017,11,392
69977.3582657,198.949506918,20.4333265861,29.414482701,2017,11,393
78420.296572,113.381823334,21.5088478589,28.3292493339,2017,11,394
85297.8430401,141.051362996,23.0025051025,38.1342742766,2017,11,395
78945.2615347,195.765504073,19.4335221088,27.6376270364,2017,11,396
80133.2061912,305.8188108,20.7747502881,33.3304537793,2017,11,397
78551.3132287,359.15168545,20.3406622198,29.5642979972,2017,11,398
78823.1629107,308.325131013,21.0735205388,29.3446992623,2017,11,399
79468.4833158,354.522492261,25.6300519686,31.2006190645,2017,11,400
76625.1002216,128.743409125,19.3420661012,31.1246578173,2017,11,401
75159.7966246,113.423265355,19.3696487736,29.3991050328,2017,11,402
69852.7686173,208.83888829,19.2050069185,29.3208367712,2017,11,403
79027.8417668,267.803054589,19.2653324469,30.7557710487,2017,11,404
85505.6810384,222.243668964,23.2877943576,25.9568721632,2017,11,405
76331.6322478,246.751150151,22.6232211868,30.1370016136,2017,11,406
77578.3691081,182.451926317,21.7271287588,31.9119709698,2017,11,407
77007.8408428,366.272464303,19.9104498919,32.6270490213,2017,11,408
